name,years,country,sector,position
Robert Andre,,France,,President of theSyndicat de Petrole
Ralph Assheton,,United Kingdom,,Member of Parliament; Former Parliamentary Secretary to Ministry of Supply; Former Financial Secretary to the Treasury
G. De Beaumont,,France,,Member of Parliament
Pierre Bonvoisin,,Belgium,,Banker; President of theBanque de la Societe Generale de Belgique(SGB)
Robert Boothy,,United Kingdom,,Member of Parliament
Max Brauer,,West Germany,,Former Mayor and President of the Land ofHamburg
Raffaele Cafiero,,Italy,,Senator
Walker L. Cisler,,United States,,"Public Utility Executive; President,Detroit Edison Co; Consultant toAtomic Energy CommissionandMutual Security Agency"
Gardner Cowles,,United States,,Publisher
Clement Davies,,United Kingdom,,Member of Parliament; Former Minister Chairman of ParliamentaryLiberal Party
Jean Drapier,,Belgium,,Lawyer
Roger Duchet,,France,,"Member of Parliament; Former Minister; Secretary General,Independents and Peasants Party"
Maurice Faure,,France,,Member of Parliament
John H. Ferguson,,United States,,"Lawyer; Vice-president and Executive Director, Committee for a National Trade Policy; Deputy Director,Policy Planning Staff,Department of State, 1951-1953"
John Foster,,United Kingdom,,Member of Parliament; ParliamentaryUndersecretary of State for Commonwealth Relations
Oliver Franks,,United Kingdom,,Former Ambassador inWashington; Chairman ofLloyd's Bank
Gerhard P. Th. Geyer,,West Germany,,Industrialist; Director General ofEsso
Colin Gubbins,,United Kingdom,,Major General; Formerly in Charge ofSpecial Operations Executive(SOE)
Denis Healey,,United Kingdom,,Member of Parliament; Former Secretary of the International Committee of theLabour Party
Henry John Heinz II,,United States,,"President,H.J. Heinz Co"
Leif Hoegh,,Norway,,Shipowner; Founder ofLeif Höegh & Co
C. D. Jackson,,United States,,Publisher; Formerly Special Assistant to PresidentEisenhower(1953-1954)
Nelson Dean Jay,,United States,,"Banker; Director,J. P. Morgan & Co Inc. New York"
Panagiotis Kanellopoulos,,Greece,,Member of Parliament; Minister of National Defense
V. J. Koningsberger,,Netherlands,,"Professor,State University Utrecht"
Ole Bjorn Kraft,,Denmark,,Member of Parliament; Former Minister of Foreign Affairs
Paul Leverkuehn,,West Germany,,Member of Parliament; Lawyer
Giovanni Malagodi,,Italy,,Member of Parliament
Finn Moe,,Norway,,"Member of Parliament; Chairman, Parliamentary Foreign Affairs Committee; Vice-President,Council of Europe"
H. Montgomery Hyde,,United Kingdom,,Member of Parliament
Roger Motz,,Belgium,,Senator; Chairman of theLiberal International; Former Chairman of theLiberal Party
Rudolf Mueller,,West Germany,,Lawyer
George C. McGhee,,United States,,"Industrialist Assistant Secretary of State for Near Eastern & South African Affairs (1949-1952); U.S. Ambassador and Chief, American Mission for Aid to Turkey (1951-1953)"
George Nebolsine,,United States,,"Lawyer; Consultant to Department of State and Economic Cooperation Administration (1948); Trustee, U.S. Council of International Chamber of Commerce"
H. Oosterhuis,,Netherlands,,Member of Parliament; President of the Netherlands Federation of Trade Unions
Cola G. Parker,,United States,,Industrialist; Member ofCommission on Foreign Economic Policy(Randall Commission)
George W. Perkins,,United States,,Industrialist;Assistant Secretary of State for European Affairs(1949-1953)
Harry Pilkington,,United Kingdom,,"President,Federation of British Industries"
Antoine Pinay,,France,,Member of Parliament; Former Prime Minister
Panagiotis Pipinelis,,Greece,,Former Foreign Minister; Former Ambassador to Soviet Union
Alberto Pirelli,,Italy,,Industrialist; Minister of State
Pietro Quaroni,,Italy,,Ambassador to France; Former Ambassador to the Soviet Union
Ludwig Rosenberg,,West Germany,,Chief of Department of Foreign Affairs of the Trade Unions
Paolo Rossi,,Italy,,Member of Parliament
Denis de Rougemont,,Switzerland,,"Author; Director, European Cultural Center"
Paul Rijkens,,United States,,Industrialist; Chairman ofUnilever N.V.
Ernst Georg Schneider,,United States,,"Industrialist; President, Chamber of Commerce of Düsseldorf"
"Joseph P. Spang, Jr.",,United States,,"Industrialist; President,The Gillette Co."
Max Steenberghe,,Netherlands,,FormerMinister of Economic Affairs of the Netherlands
Pierre-Henri Teitgen,,France,,Vice-president of the Council of Ministers
Terkel M. Terkelsen,,Denmark,,"Chief editor,Berlingske Tidende"
Herbert Tingsten,,Sweden,,"Chief editor,Dagens Nyheter"
H. Troeger,,West Germany,,Minister of Finance of Hesse
Vittorio Valletta,,Italy,,Industrialist; President ofFIAT
Andre Voisin,,France,,"President,La Federation"
H. F. van Walsem,,Netherlands,,Industrialist; Member of the Board ofPhilips IndustriesEindhoven
Jean Willems,,Belgium,,Fondation Universitaire
Thomas Williamson,,United Kingdom,,"General Secretary,National Union of General and Municipal Workers"
B. H. M. Vlekke,,Netherlands,,Secretary General of the Netherlands' Society of International Affairs
Raymond Aron,,France,,
David Astor,,United Kingdom,,
George Ball,,United States,,
Fritz Berg,,West Germany,,
Muharrem Nuri Birgi,,Turkey,,
Eugene R. Black Sr.,,United States,,
Robert R. Bowie,,United States,,
McGeorge Bundy,,United States,,
Hakon Christiansen,,Denmark,,
Walker Lee Cisler,,United States,,
Pierre Commin,,France,,
B. D. Cooke,,United Kingdom,,
Arthur Dean,,United States,,
Thomas E. Dewey,,United States,,
William Elliot,,United Kingdom,,
Fritz Erler,,West Germany,,
Amintore Fanfani,,Italy,,
John Ferguson,,United States,,
J. William Fulbright,,United States,,
Jean de la Garde,,France,,
Lincoln Gordon,,United States,,
F. A. de Graaff,,Netherlands,,
Lawrence Hafstad,,United States,,
Jens Christian Hauge,,Norway,,
Brooks Hays,,United States,,
Arnold Heeney,,Canada,,
Michael A. Heilprin,,United States,,
Leif Høegh,,Norway,,
Paul G. Hoffman,,United States,,
Charles Douglas Jackson,,United States,,
William H. Jackson,,United States,,
Per Jacobsson,,Sweden,,
George F. Kennan,,United States,,
Kurt Georg Kiesinger,,West Germany,,
Henry Kissinger,,United States,,
Piet Lieftinck,,Netherlands,,
Imbriani Longo,,Italy,,
Paul Martin,,Canada,,
David Maxwell,,United Kingdom,,
John J. McCloy,,United States,,
David J. McDonald,,United States,,
Ralph McGill,,United States,,
Adnan Menderes,,Turkey,,
Alexander Menne,,West Germany,,
Robert Daniel Murphy,,United States,,
Frank C. Nash,,United States,,
Paul Nitze,,United States,,
Allan Noble,,United Kingdom,,
Morehead Patterson,,United States,,
John Pomian,,United Kingdom,,
Don K. Price,,United States,,
Henry Lithgow Roberts,,United States,,
David Rockefeller,,United States,,
Herman van Roijen,,Netherlands,,
Dean Rusk,,United States,,
Paul Rykens,,Netherlands,,
J. L. S. Steel,,United Kingdom,,
Arthur Hays Sulzberger,,United States,,
Terkel Terkelsen,,Denmark,,
John M. Vorys,,United States,,
Marcus Wallenberg Jr.,,Sweden,,
Frazar Wilde,,United States,,
Alexander Wiley,,United States,,
Otto Wolff von Amerongen,,West Germany,,
W. T. Wren,,United Kingdom,,
Paul van Zeeland,,Belgium,,
Hermann Josef Abs,,West Germany,,
Dean Acheson,,United States,,
Gianni Agnelli,,Italy,,
Walworth Barbour,,United States,,
Wilfrid Baumgartner,,France,,
Edward Beddington-Behrens,,United Kingdom,,
Berthold Beitz,,West Germany,,
Pieter Blaisse,,Netherlands,,
James Boden,,West Germany,,
Erik Boheman,,Sweden,,
Warren Randolph Burgess,,United States,,
Louis Camu,,Belgium,,
Guido Carli,,Italy,,
Clifford P. Case,,United States,,
Victor Cavendish-Bentick,,United Kingdom,,
Ralph Cochrane,,United Kingdom,,
Erich Dethleffsen,,West Germany,,
Hugh Gaitskell,,United Kingdom,,
Walter L. Gordon,,Canada,,
Jo Grimmond,,United Kingdom,,
Walter Hallstein,,West Germany,,
Joseph C. Harsch,,United States,,
Gabriel Hauge,,United States,,
Michael Heilprin,,United States,,
Eelco van Kleffens,,Netherlands,,
Edward Knollys,,United Kingdom,,
Ole Kraft,,Denmark,,
Thorkil Kristensen,,Denmark,,
Philip Mosely,,United States,,
Alfred C. Neal,,United States,,
David Ormsby-Gorex,,United Kingdom,,
Frans Otten,,Netherlands,,
Alfred Roberts,,United Kingdom,,
Michael Ross,,United States,,
Jacques Rueff,,France,,
Carlo Schmid,,West Germany,,
Cortlandt V. R. Schuyler,,United States,,
J. L. S. Steele,,United Kingdom,,
Henry Tiarks,,United Kingdom,,
Every Vermeer,,Netherlands,,
Marcus Wallenberg,,Sweden,,
James David Zellerbach,,United States,,
Gianni Agnelli,,"Vice-president,FIAT",,Italy
Robert Orville Anderson,,"President,Aspen Institute for Humanistic Studies",,United States
Raymond Aron,,Journalist and University Professor,,France
George Ball,,Under Secretary of State,,United States
John W. H. Bassett,,"Chairman and publisher,The Telegramme",,Canada
Jacques Baumel,,"Senator; Secretary General,Union pour la Nouvelle Republique",,France
Wilfrid Baumgartner,,Former Minister of Finance,,France
Henrik Beer,,"Secretary General,League of Red Cross Societies",,Sweden
Frederic Bennett,,Member of Parliament,,United Kingdom
Fritz Berg,,"President,Federation of German Industries",,West Germany
Muharrem Nuri Birgi,,Ambassador toNATO,,Turkey
Kurt Birrenbach,,Member of Parliament,,West Germany
Pieter Blaisse,,Member of Parliament; Member ofEuropean Parliament,,Netherlands
Max Brauer,,Former Burgomaster of Hamburg; Member of Parliament,,West Germany
James Callaghan,,Member of Parliament,,United Kingdom
Victor Cavendish-Bentinck,,Adviser on Foreign Affairs toUnilever,,West Germany
Albin Chalandon,,"Director,Banque Commerciale de Paris",,France
Paul Chambers,,"Chairman,Imperial Chemical Industries Limited",,United Kingdom
Walker Lee Cisler,,Industrialist,,United States
Harold van B. Cleveland,,"Director, Atlantic Policy Studies",,United States
Emilio Collado,,"Vice President,Standard Oil New Jersey",,United States
Lammot du Pont Copeland,,President ofE.I. du Pont de Nemours Inc.,,United States
Karl Czernetz,,MP; Chairman Foreign Affairs Committee of theAustrian Parliament,,Austria
Sven Dahlman,,Former Ambassador,,Sweden
Arthur Dean,,International Lawyer and Diplomat,,United States
Alighiero de Micheli,,"Industrialist; Former Chairman,Federation of Italian Industries",,Italy
James Duncan,,Company Director,,Canada
Nejat Eczacıbaşı,,President ofEczacıbaşı İlaçlarıLimited Şirketi,,Turkey
Hans Engen,,Under Secretary of State; Ministry of Foreign Affairs,,Norway
Fritz Erler,,Member of Parliament,,West Germany
Maurice Faure,,Member of Parliament,,France
André Fontaine,,Chief Foreign ServiceLe Monde,,France
Cornelius Gallagher,,Congressman,,United States
Pierre Gallois,,General,,France
William Gossett,,Deputy Special Representative for Trade Negotiations,,United States
A. G. S. Griffin,,Banker,,Canada
Colin Gubbins,,Industrialist,,United Kingdom
Guillaume Guindey,,"General manager,Bank for International Settlements",,France
Gabriel Hauge,,"Vice-Chairman, ManufacturersHanover Trust Company",,United States
Denis Healey,,Member of Parliament; Labour Party Spokesman on Defense,,United Kingdom
Edward Heath,,Lord Privy Seal,,United Kingdom
Henry J. Heinz II,,"Chairman of the Board,Heinz",,United States
Hans von Herwarth,,Secretary of State to Federal President,,West Germany
William Alexander Hewitt,,"President,Deere & Company",,United States
Bourke B. Hickenlooper,,Senator,,United States
Leif Høegh,,Shipowner,,Norway
Charles D. Jackson,,"Publisher,Life Magazine",,United States
Paul Jolles,,Delegate of the Federal Council for Trade Agreements,,Switzerland
Herman Kling,,Minister of Justice,,Sweden
Max Kohnstamm,,"Vice-President,Action Committee for a United States of Europe",,Netherlands
Ole Bjørn Kraft,,Former Minister of Foreign Affairs; Member of Parliament,,Denmark
Lyman L. Lemnitzer,,Supreme Commander Allied Forces in Europe,,United States
Emiel van Lennep,,"Chairman, Monetary CommitteeEEC",,Netherlands
Sicco Mansholt,,"Vice-President, EEC",,Netherlands
Edward Mason,,Professor,,United States
René Massigli,,Ambassador,,France
Marcelo Duarte Matias,,Ambassador to France; Former Minister of Foreign Affairs,,Portugal
George McGhee,,Government Official,,United States
Johannes Meynen,,"President,AKU",,Netherlands
Roland Michener,,Barrister and Business Executive,,Canada
Guy Mollet,,Former Prime Minister,,France
Robert Murphy,,"President,Corning Glass International",,United States
George Nebolsine,,International Lawyer,,United States
Paul Nitze,,"Assistant Secretary for International Affairs, Department of Defense",,United States
Johan Nykopp,,Former Ambassador; General Manager ofTampella,,Finland
Aurelio Peccei,,Managing Director of Italconsult,,Italy
Mario Pedini,,Member of Parliament; Member ofEuropean Parliament,,Italy
James A. Perkins,,Vice-president ofCarnegie Corporation; President-elect ofCornell University,,United States
Max Petitpierre,,Former President of Swiss Confederation,,Switzerland
Jacques Piette,,Civil Servant,,France
Antoine Pinay,,Former Prime Minister,,France
Alberto Pirelli,,Industrialist,,Italy
René Pleven,,Member of Parliament; Former Prime Minister,,France
Pietro Quaroni,,Ambassador to the United Kingdom,,Italy
David Rockefeller,,"President,Chase Manhattan Bank",,United States
Ivo Samkalden,,Professor of International Law,,Netherlands
Carlo Schmid,,"Vice-president, Federal Parliament",,West Germany
Jacques Segard,,Industrialist,,France
René Sergent,,"Vice-president,Syndicat General de la Construction Electrique",,France
Jean-Charles Snoy et d'Oppuers,,"Managing Director,Compagnie dOutremer pour Industrie et la Finance",,Belgium
Paul-Henri Spaak,,Minister of Foreign Affairs,,Belgium
Charles Spofford,,Lawyer; Former U.S. Representative onNorth Atlantic Council,,United States
Christofore Stratos,,"Director, Cotton IndustriePiraiki-Patraiki",,Greece
Terkel Terkelsen,,Editor,,Denmark
Mark Turner,,"Managing Director,Kleinwort Benson Ltd",,United Kingdom
Pierre Uri,,"Consultant for the Conduct of Studies,Atlantic Institute",,France
Marcus Wallenberg Jr.,,"Chairman,Federation of Swedish Industries",,Sweden
Otto Wolff von Amerongen,,"Senior partner,Otto Wolff Koln",,West Germany
Montague Christopher Woodhouse,,Parliamentary Secretary to the Home Office,,United Kingdom
Dean Acheson,,Former Secretary of State,,United States
Gianni Agnelli,,"Vice-chairman of the Board and Managing Director,FIAT Co.",,Italy
Jacques Baumel,,"Senator, Secretary General,Union pour la Nouvelle République",,France
Alastair Buchan,,"Director,International Institute for Strategic Studies",,United Kingdom
McGeorge Bundy,,Special Assistant to the President for National Security Affairs,,United States
Louis Cabot,,"President,Cabot Corporation",,United States
Emilio Collado,,"Vice President,Standard Oil Co. New Jersey",,United States
Gaston Defferre,,Department of National Assembly; Mayor of Marseille,,France
James Duncan Jones,,Company Director,,Canada
Henry Scrymgeour-Wedderburn,,Minister of State for Foreign Affairs,,United Kingdom
Fritz Erler,,Member of Parliament; Floor LeaderSocial-Democratic Party,,West Germany
Gerald Ford,,Congressman,,United States
Peter Frelinghuysen,,Congressman,,United States
J. William Fulbright,,Senator,,United States
Pierre Gallois,,General; Specialist in Nuclear Problems,,France
Anthony Griffin,,Banker,,Canada
Per Hækkerup,,Minister of Foreign Affairs,,Denmark
Gabriel Hauge,,"President, ManufacturersHanover Trust Company",,United States
Arnold Heeney,,"Former Ambassador to the United States; Chairman, International Joint Commission on Water Resources",,Canada
Henry J. Heinz II,,"Chairman of the Board,Heinz Co.",,United States
Christian A. Herter Jr.,,Former Secretary of State; Special Representative for Trade Negotiations,,United States
Leif Høegh,,"Shipowner, founder ofLeif Höegh & Co",,Norway
Chet Holifield,,Congressman,,United States
Charles D. Jackson,,"Senior Vice President,Time, Inc.",,United States
Henry M. Jackson,,Senator,,United States
Jacob Javits,,Senator,,United States
George Jellicoe,,First Lord of the Admiralty,,United Kingdom
Kercho,,"Assistant,Ecole des Sciences Politiques et Sociales",,Belgium
Henry Kissinger,,"Associate Professor,Harvard UniversityCenter for International Affairs",,United States
Eelco van Kleffens,,Chief Representative in the United Kingdom of theEuropean Coal and Steel Community,,Netherlands
Harald Kundtzon,,"General Manager,Den Danske Landmandsbank",,Denmark
Max Kohnstamm,,"Vice president,Action Committee for a United States of Europe",,Netherlands
Henri J. de Koster,,"President,Federation of Netherlands Industries",,Netherlands
Franz Krapf,,"Chief of the Political Division, Ministry of Foreign Affairs",,West Germany
Knut von Kühlmann-Stumm,,Member of Parliament; Floor Leader of theFree Democratic Party,,West Germany
Christian de La Malène,,Member of Parliament; Member ofEuropean Parliament,,France
Ugo La Malfa,,Member of Parliament,,Italy
Halvard Lange,,Minister of Foreign Affairs,,Norway
Emiel van Lennep,,"Chairman, Monetary Committee,EEC; Chairman, Working Party 3,OECD",,Netherlands
Franklin A. Lindsay,,President ofItek,,United States
Jean de Lipkowski,,Diplomat; Member of Parliament; Member of European Parliament,,France
Lawrence Litchfield Jr.,,"Chairman of the Board,Aluminum Company of America(Alcoa)",,United States
Ettore Lolli,,"Deputy General Manager,Banca Nazionale del Lavoro",,Italy
Joseph Luns,,Minister of Foreign Affairs,,Netherlands
Ernst Majonica,,Member of Parliament,,West Germany
Franco Maria Malfatti,,Under Secretary Ministry of Industry and Commerce,,Italy
Sicco Mansholt,,"Vice President,EEC",,Netherlands
John J. McCloy,,Lawyer and Diplomat,,United States
George C. McGhee,,Ambassador to the Federal Republic of West Germany,,United States
Johannes Meynen,,"Managing Director, AKU",,Netherlands
Robert Daniel Murphy,,"President,Corning Glass International",,United States
Johan Nykopp,,Former Ambassador; President ofTampella,,Finland
Lester B. Pearson,,Prime Minister,,Canada
Aurelio Peccei,,"Managing Director, Italconsult",,Italy
Eric Roll,,Economic Minister at the British Embassy to the United States; Head of the UK Treasury and Supply Delegation,,United Kingdom
Giovanni Scaglia,,"Member of Parliament; Vice Chairman,Christian Democratic Party",,Italy
Carlo Schmid,,"Vice President, Federal Parliament",,West Germany
Pierre-Paul Schweitzer,,"Managing Director,International Monetary Fund",,France
Marshall D. Shulman,,"Research Associate, Russian Research Center,Harvard University; Professor of International, Politics,Fletcher School of Law and Diplomacy",,United States
Harold Page Smith,,Supreme Allied Commander ofNATO,,United States
Jean-Charles Snoy et d'Oppuers,,"Managing Director,Compagnie Internationale pour le Commerce et l'Industrie",,Belgium
Hans Speidel,,Special Adviser on Defense Matters,,West Germany
Michael Stewart,,Member of Parliament,,United Kingdom
Dirk Stikker,,Secretary General ofNATO,,Netherlands
Shepard Stone,,"Director, International Affairs Program,Ford Foundation",,United States
Terkel Terkelsen,,Chief Editor,,Denmark
Victor Umbricht,,"Former Head of Swiss Treasury and Diplomat; President,Ciba Specialty Chemicals, New York",,Switzerland
Paolo Vittorelli,,Senator,,Italy
Ludger Westrick,,"Secretary of State, Office Federal Chancellor",,West Germany
Robert Winters,,Industrialist,,Canada
Walter Wriston,,"Executive Vice-president,First National City Bank",,United States
Eric Wyndham White,,"Executive Secretary,GATT",,United Kingdom
Princess Beatrix of the Netherlands,,Dutch Crown Princess,,Netherlands
Andreas E. van Braam Houckgeest,,,,Netherlands
Vittorino Chiusano,,,,Italy
Carlisle H. Humelsine,,Former Assistant Secretary of State for Administration,,United States
Alfred Mozer,,,,Belgium
Bertie le Roy,,,,Netherlands
Hubert Ansiaux,,Belgium,,
Charles Arliotis,,Greece,,
Prodromos Bodosakis-Athanasiadis,,Greece,,
Rainer Barzel,,West Germany,,
Jacques Baumel,,France,,
