name,years,country,sector,position
Jaakko Iloniemi,,Finland,,Member of the Management Board of theUnion Bank of Finland; Former Ambassador of Finland to the U.S.
Robert A. Jeker,,Switzerland,,"President of the Executive Board,Credit Suisse"
Lennart Johansson,,Sweden,,"President and Group Executive,SKF; Vice Chairman of the Federation of Swedish Industries"
Karlheinz Kaske,,Federa Republic of Germany,,"President and Chief Executive Officer,Siemens A.G."
Louka Katseli,,Greece,,"Scientific Director,Centre of Planning and Economic Research"
Max Kohnstamm,,INT,,"Former President,European University Institute, Florence"
Kåre Kristiansen,,Norway,,Minister of Petroleum and Energy
Otto Graf Lambsdorff,,Federa Republic of Germany,,Minister of Economic Affairs
Emile van Lennep,,INT,,"Secretary-General,OECD"
Assar Lindbeck,,Sweden,,"Professor of International Economics,University of Stockholm"
Aarnout Loudon,,Netherlands,,"President Board of Management,AKZO"
Joseph Luns,,INT,,"Secretary-General,NATO"
Miguel Angel Martinez,,Spain,,"Member of Parliament and Vice President, Foreign Affairs Committee"
Curt Nicolin,,Sweden,,Chairman of the Swedish Employers' Confederation
Christine Ockrent,,France,,"Editor-in-Chief,Antenne II"
Clas-Erick Odhner,,Sweden,,Head of the Research Section of theSwedish Trade Union Confederation
Robert O'Neill,,INT,,"Director,International Institute for Strategic Studies"
Andre Goncalves Pereira,,Portugal,,"Professor of International Law,University of Lisbon; Former Minister of Foreign Affairs"
William B. Quandt,,United States,,"Senior Fellow, TheBrookings Institution"
John M. Raisman,,United Kingdom,,"Chairman and Chief Executive Officer,Shell UK"
Alice Rivlin,,United States,,"Director Economic Studies Program, TheBrookings Institution; Former Director, TheCongressional Budget Office"
Bernard W. Rogers,,INT,,Supreme Allied Commander Europe
Juan Tomas de Salas,,Spain,,"Editor,Cambio 16andDiario 16"
Wolfgang Schüssel,,Austria,,"Secretary General, Austrian Economic Federation"
Marshall D. Shulman,,United States,,"Director, W. Averell Harriman Institute for Advanced Study of the Soviet Union,Columbia University"
Joseph J. Sisco,,United States,,"Partner, Sisco Associates; Former Under Secretary of State for Political Affairs"
Theo Sommer,,Federa Republic of Germany,,"Publisher,Die Zeit"
Poul J. Svanholm,,Denmark,,"President and Group Chief Executive,United Breweries"
Stig Synnergren,,Sweden,,Principal Aide-de-Camp to the King; Former Supreme Commander
Şarık Tara,,Turkey,,"Chairman, ENKA Group of Companies"
Horst Teltschik,,Federa Republic of Germany,,"Head of Department Foreign Affairs and Security Policy, Chancellor's Office"
Anders Thunborg,,Sweden,,Minister of Defense
Emilio Rui Vilar,,Portugal,,"Vice Governor,Bank of Portugal"
Peter Wallenberg Sr.,,Sweden,,"Vice Chairman,Skandinaviska Enskilda Banken"
John C. Whitehead,,United States,,"Senior Partner,Goldman, Sachs & Co."
Otto Wolff von Amerongen,,Federa Republic of Germany,,"Chairman of the Board of Management,Otto Wolff"
John Hennings,,United Kingdom,,Former High Commissioner in Singapore
Johan H. Andresen,,Norway,,"Chairman and Chief Executive Officer, Tiedemann Group"
Thomas J. Bata,,Canada,,"Chairman,Bata"
Eivinn Berg,,Norway,,"Ambassador and Peramanent Representative, Norwegian Delegation toNATO; Former State Secretary"
John Bierwirth,,United States,,"Chairman,Grumman Corporation"
Bill Bradley,,United States,,U.S. Senator
Louis W. Cabot,,United States,,"Chairman,Cabot Corporation"
Umberto Cappuzzo,,Italy,,"Chief of Staff,Italian Army"
Hélène Carrère d'Encausse,,France,,"Professor,Institut d'Etudes Politiques de Paris; Professor of History and Political Science of the Soviet Union at theSorbonne"
Kaspar V. Cassani,,Switzerland,,"Senior Vice President,IBM Corporation; Chairman, IBM World Trade EMEA Corporation"
Jose Manuel Torres Couto,,Portugal,,"Secretary-General, General Trade Union UGT"
Michel Francois-Poncet,,France,,"Chairman,ParibasNorth America"
Michel Giraud,,France,,"Senator; President, RegionalCouncil of Ile de France"
Donald P. Gregg,,United States,,Assistant to the Vice President for National Security Affairs
William E. Griffith,,United States,,"Proessor, Political Science Department,Massachusetts Institute of Technology"
Franklyn Griffiths,,Canada,,"Professor, Center for Russian and East European Studies,University of Toronto"
Mats Hellström,,Sweden,,Minister for Foreign Trade
Martin Jacomb,,United Kingdom,,"Vice-chairman,Kleinwort Benson Limited"
James R. Jones,,United States,,"U.S. Congressman, Oklahoma"
Basil Kafiris,,Greece,,"Governor,Agricultural Bank of Greece"
Jak Kamhi,,Turkey,,"Chairman of the Board,Profilo Holding"
Geoffrey C. Kent,,United Kingdom,,"Chairman and Chief Executive,Imperial Group"
"Harold Lever, Baron Lever of Manchester",,United Kingdom,,Former Cabinet Minister and Financial Secretary; Former Member of Parliament
"Hans-Adam II, Prince of Liechtenstein",,Liechtenstein,,
Hans B. Van Liemt,,Netherlands,,"Chairman of the Managing Board of Directors,DSM"
Ernani Rodrigues Lopes,,Portugal,,Minister of Finance
Felicien Morel,,Switzerland,,"Director of Finance,Canton of Fribourg; Former M.P."
Osman Esim Olcay,,Turkey,,Ambassador to NATO; Former Foreign Minister
Robert O'Neill,,Australia,,"Director,International Institute for Strategic Studies"
Jean-Claude Paye,,France,,"Secretary-General,OECD"
Leland S. Prussia,,United States,,"Chairman,Bank of America"
Rozanne L. Ridgway,,United States,,U.S. Ambassador to the German Democratic Republic
"Eric Roll, Baron Roll of Ipsden",,United Kingdom,,"Chairman, S. G. Warburg & Co."
Guido Rossi,,Italy,,Lawyer
Onno Ruding,,Netherlands,,"Minister of Finance, Chairman of the Interim Committee of theIMF"
Giovanni Sartori,,Italy,,"Albert Schweitzer Professor in the Humanities,Columbia University"
Richard M. Scammon,,United States,,"Director, Elections Research Center"
Mario Schimberni,,Italy,,"President,Montedison"
Brent Scowcroft,,United States,,"Vice Chairman,Kissinger Associates; Former Member of President's General Advisory Committee on Arms Control"
Patrick Sheehy,,United Kingdom,,"Chairman,BAT Industries"
Javier Solana,,Spain,,Minister of Culture
Norman Tebbit,,United Kingdom,,"Secretary of Trade and Industry; Member of Parliament, Member of the Prime Minister's Cabinet"
Joop den Uyl,,Netherlands,,"Parliamentary Leader, Labour Party; Former Prime Minister"
Mark Weinberg,,United Kingdom,,"Chairman,Hambro Life Assurance"
Norbert Wieczorek,,West Germany,,Member of Parliament
James Wolfensohn,,United States,,"President, James D. Wolfensohn, Inc."
Bernard Wood,,Canada,,"Director,North-South Institute"
Manfred Wörner,,West Germany,,Minister of Defense
Edwin H. Yeo III,,United States,,"Managing Director,Morgan Stanley & Company; Former Under Secretary of the Treasury"
David Young,,United Kingdom,,Minister without Portfolio; Member Prime Minister's Cabinet
Georg Zimmer-Lehman,,Austria,,"Managing Director,Creditanstalt-Bankverein"
Carl Johan Aaberg,,Sweden,,Under-Secretary of State
Torvild Aakvaag,,Norway,,"Director General,Norsk Hydro"
Antony Acland,,United Kingdom,,Permanent Under Secretary of State and Head of the Diplomatic Service; Ambassador-Designate to Washington
Martin Bangemann,,Federal Republic of Germany,,Minister of Economic Affairs
Einar Benediktsson,,Iceland,,Ambassador to the United Kingdom
Tom Boardman,,United Kingdom,,"Chairman,National Westminster Bank"
Hans van den Broek,,Netherlands,,Minister for Foreign Affairs
Yavuz Canevi,,Turkey,,Governor of theCentral Bank of the Republic of Turkey
Alain Chevalier,,France,,"Chairman,Moet Hennessy"
Henry S. F. Cooper Jr.,,United States,,"Deputy U.S. Negotiator, Defense and Space Group"
David Dautresme,,France,,"General Partner, Lazard Freres & Cie"
"Robert A. Day, Jr.",,United States,,"Chairman,Trust Company of the West"
John L. Egan,,United Kingdom,,"Chairman and Chief Executive,Jaguar"
Daniel J. Evans,,United States,,U.S. Senator
Muray H. Finley,,United States,,"President,Amalgamated Clothing and Textile Workers Union"
Barbara Frum,,Canada,,Host ofThe Journal(Television Program of theCanadian Broadcasting Corporation)
Allan Gotlieb,,Canada,,Ambassador to the United States
Alec Douglas-Home,,United Kingdom,,Former Prime Minister; Former Chairman of Bilderberg Meetings
Arnold L. Horelick,,United States,,"Director, TheRand/UCLACenter for the Study of Soviet International Behavior"
Simon Jenkins,,United Kingdom,,"Political Editor,The Economist"
Paul R. Jolles,,Switzerland,,"Chairman of the Board,Nestle; Former State Secretary for Foreign Economic Affairs"
Hans Klein,,Federal Republic of Germany,,Member of Parliament for theCDU/CSU; Spokesman on Foreign Affairs
Franz J. Lutolf,,Switzerland,,"General Manager and Member of the Executive Board,Swiss Bank Corporation"
Antonio Maccanico,,Italy,,"General Secretary, Office of the President of the Italian Republic"
Stephanos Manos,,Greece,,Member of Parliament
Leonardo Mathias,,Portugal,,Ambassador to the United States
Donald McHenry,,United States,,University Research Professor of Diplomacy and International AffairsGeorgetown University; Former Ambassador to theUnited Nations
Tommaso Padoa-Schioppa,,Italy,,"Deputy Director General,Banca d'Italia"
Michael Palliser,,United Kingdom,,"Chairman,Samuel Montagu & Co. Limited; Chairman of the Council,International Institute for Strategic Studies"
Robert L. Pfaltzgraff,,United States,,"President, Institute for Foreign Policy Analysis"
Herbert Pundik,,Denmark,,"Editor-in-Chief,Politiken"
Robert P. Reid,,United Kingdom,,"Chairman,Shell UK"
Malcolm Rifkind,,United Kingdom,,Secretary of State for Scotland
Michel Rocard,,France,,Member of Parliament (Socialist Party)
Mariano Rubio,,Spain,,"Governor,Bank of Spain"
Renato Ruggiero,,Italy,,"General Secretary, Ministry for Foreign Affairs"
Gaetano Scardocchia,,Italy,,"Editor,La Stampa"
Walter Scheel,,Federal Republic of Germany,,Former President; Former Chairman of Bilderberg Meetings
Artur Santos Silva,,Portugal,,"Former Under Secretary of the Treasury; Former Vice President,Bank of Portugal; President,Banco Portugues de Investimento"
John Smith,,United Kingdom,,Member of Parliament (Labour Party)
Luigi Spaventa,,Italy,,"Professor of Economics,University of Rome"
Frank Swaelen,,Belgium,,"President, Christian Democratic Party"
Seyfi Taşhan,,Turkey,,"Managing Director,Foreign Policy Institute"
Nils Morten Udgaard,,Norway,,"Deputy Secretary, Prime Minister's Office"
Angelika Volle,,Federal Republic of Germany,,"Research Fellow,German Council on Foreign Relations"
"Charles, Prince of Wales",,United Kingdom,,
Nils Wilhjelm,,Denmark,,Minister of Industry
Lynn R. Williams,,United States,,"International President,United Steel Workers of America"
Frank G. Wisner,,United States,,"Deputy Assistant Secretary for African Affairs, Department of State"
Alfredo Ambrosetti,,Italy,,"President,Studio Ambrosetti; Organizer 1987 Conference"
Saskia ten Asbroek,,Netherlands,,"Executive Secretary, Bilderberg Meetings"
Alec S. Donkin,,United Kingdom,,"Organizer, 1986 Conference"
Gündüz Aktan,,Turkey,,"Adviser to the Prime Minister, Ministry for Foreign Affairs"
Paul A. Allaire,,United States,,"President,Xerox Corporation"
Michael R. Angus,,United Kingdom,,"Chairman,Unilever"
Nils Astrup Hoel,,Norway,,"Chairman of the Board, Fearnley & Eger"
Édouard Balladur,,France,,"Minister of State; Minister of Economics, Finance and Privatization"
Luigi Caligaris,,Italy,,Author and Defence Correspondent
Costa-Gavras,,Greece,,Director of Companies
Carlo Azeglio Ciampi,,Italy,,"Governor,Banca d'Italia"
Francesco Cingano,,Italy,,"Chairman, Banca Commerciale Italiana"
Richard Darman,,United States,,"Managing Director,Shearson Lehman Brothers; Former Deputy Secretary, Department of the Treasury"
Arthur Dunkel,,Switzerland,,"Director General, General Agreement on Tariffs and Trade"
Fredrik Stefan Eaton,,Canada,,"President and Chief Executive Officer, Eaton's of Canada Limited"
John S. Foster Jr.,,United States,,"Vice President,TRW"
Raul Gardini,,Italy,,"Chairman, Ferruzzi"
Paul Girolami,,United Kingdom,,"Chairman,Glaxo Holdings"
Maynard W. Glitman,,United States,,Negotiator on Intermediate Range Nuclear Arms
Anthony G.S. Griffin,,Canada,,Director of Companies
Helmut H. Haschek,,Austria,,"Chairman of the Board,Osterreichische Kontrollbank"
"Vernon E. Jordan, Jr.",,United States,,"Partner,Akin, Gump, Strauss, Hauer & Feld(Attorneys-at-Law); Former President,National Urban League"
Cor J. Van Der Klugt,,Netherlands,,"President,Philips Gloeilampenfabrieken"
Marc Ladreit de Lacharrière,,France,,"Vice President,L'Oreal"
Frantz J. Lutolf,,Switzerland,,"General Manager and Member of the Executive Board,Swiss Bank Corporation"
Jose Eduardo Moniz,,Portugal,,"Director of Information,Rádio e Televisão de Portugal"
Davíð Oddsson,,Iceland,,Mayor of Reykjavik
Fernando Faria de Oliveira,,Portugal,,"Executive Vice President, IPE"
Yiannos Papantoniou,,Greece,,"Under-Secretary, Ministry of National Economy"
François Perigot,,France,,"Chairman of the National Council, Patronat Francais"
Charles H. Price II,,United States,,Ambassador to the United Kingdom of Great Britain and Northern Ireland
Franco Reviglio,,Italy,,"Chairman,ENI"
Cesare Romiti,,Italy,,"Chief Executive Officer,Fiat"
Julian Santamaria,,Spain,,Ambassador to the United States of America
Antoinette Spaak,,Belgium,,"Minister of State; Former Chairman, Federation des Francophones"
Hubert Védrine,,France,,Former Foreign Policy Adviser to the President
Joris Voorhoeve,,Netherlands,,Parliamentary Leader of theVVD
Lodewijk Christiaan van Wachem,,Netherlands,,"President,Royal Dutch Petroleum Company"
William Waldegrave,,United Kingdom,,"Minister for the Environment, Countryside and Planning"
Peter Wallenberg,,Sweden,,"Vice Chairman,Skandinaviska Enskilda"
Norman Webster,,Canada,,"Editor-in-Chief,The Globe and Mail"
"Brayton Wilbur, Jr.",,United States,,"Executive Vice President, Wilbur Ellis Company"
Zekeriya Yıldırım,,Turkey,,Governor of theCentral Bank
Hans L. Zetterberg,,Sweden,,"Editor-in-Chief,Svenska Dagbladet"
Andreas Andrianopoulos,,Greece,,Mayor of Piraeus; Former Minister of Culture
Francisco Pinto Balsemao,,Portugal,,"Director, Jornal Expresso; Former Prime Minister"
Enrique Baron,,Spain,,"Vice President, European Parliament; President, European Movement; Former Minister of Transport"
Ernst H. van der Beugel,,Netherlands,,"Emeritus Proessor of International Relations,Leyden University; Director of Companies"
Selahattin Beyazit,,Turkey,,Director of Companies
Conrad M. Black,,Canada,,"Chairman,Argus Corporation"
Shirley Temple Black,,United States,,"Foreign Affairs Officer, Department of State; Former Ambassador to the Republic of Ghana"
Franz Blankart,,Switzerland,,"State Secretary for External Economic Affairs, Federal Department of Public Economy"
Ali Bozer,,Turkey,,Minister of State
Nicolas F. Brady,,United States,,"Co-Chairman,Dillon, Read & Co.; Former U.S. Senator"
Francois Bujon de LEstang,,France,,"Minister Plenipotentiary; Former Adviser for Diplomatic Affairs, Defence and Cooperation in the Cabinet of Mr.Jacques Chirac"
Staffan Burenstam Linder,,Sweden,,"President, Stockholm School of Ecnomics; Former Minister of Trade; Former Member of Parliament"
Costa Carras,,Greece,,Director of Companies
Juan Luis Cebrian,,Spain,,"Director and Editor-in-Chief,El Pais"
Marshall A. Cohen,,Canada,,"President, Olympia & York Enterprises Limited"
Vitor M. R. Constancio,,Portugal,,"Leader of the Socialist Party; Former Governor,Banco de Portugal; Former Secretary of State for Budget and Planning"
James Craig,,United Kingdom,,"Director General, The Middle East Association"
Etienne Davignon,,Belgium,,"Director,Societe Generale de Belgique; Former Member of the Commission of the European Communities"
Gerard Eskenazi,,France,,"President, Pargesa Holding"
Thomas S. Foley,,United States,,U.S. Representative
Jean A. Francois-Poncet,,France,,Senator; Former Minister for Foreign Affairs
John R. Galvin,,United States,,Supreme Allied Commander Europe (SHAPE)
Katharine Graham,,United States,,"Chairman,The Washington Post Company"
FIN,,Canada,,Director of Companies
Francois Heisbourg,,France,,"Director, The International Institute for Strategic Studies"
Friedrich Hoess,,Austria,,Ambassador to the United States of America
Karen Elliott House,,United States,,"Foreign Editor,The Wall Street Journal"
William G. Hyland,,United States,,"Editor,Foreign Affairs"
Nancy Landon Kassebaum,,United States,,U.S. Senator
John Keegan,,United Kingdom,,"Military Historian; Defence Correspondent,The Daily Telegraph"
Lane Kirkland,,United States,,"President, American Federation of Labor and Congress of Industrial Organizations (AFL-CIO)"
Henry A. Kissinger,,United States,,"Former Secretary of State; Chairman,Kissinger Associates, Inc."
Thomas Klestil,,Austria,,"Secretary General, Federal Ministry for Foreign Affairs"
Pedro Pablo Kuczynski,,United States,,"Co-Chairman, First Boston International"
Marc Ladreit de Lacharriere,,France,,"Director and First Executive Vice President,L'Oreal"
Drew Lewis,,United States,,"Chairman,Union Pacific Corporation"
Andre Leysen,,Belgium,,"Chairman of the Board, Gevaert N.V.; Vice-chairman, Union of Industrial and Employers Confederations of Europe (UNICE)"
Donald S. MacDonald,,Canada,,"Senior Partner, McCarthy & McCarthy"
Floris A. Maijers,,Netherlands,,"Chairman of the Board of Management,Unilever N.V."
Stephen N. Marris,,United Kingdom,,"Senior Fellow,Institute for International Economics; Former Economic Adviser to the Secretary General,OECD"
"Charles McC. Mathias, Jr.",,United States,,"Partner,Jones, Day, Reavis & Pogue; Former U.S. Senator"
Rupert Murdoch,,United States,,"Chairman,News America Publishing"
Her Majesty The QueenBeatrix of the Netherlands,,Netherlands,,
His Royal HighnessPrince Claus of the Netherlands,,Netherlands,,
Anton Osond,,Austria,,"Chairman of the Board of Management, Osterreichische Investitionskredit"
Theodoros Pangalos,,Greece,,Alternate Minister for Foreign Affairs
Donald E. Petersen,,United States,,"Chairman,Ford Motor Company"
Francisco Lucas Pires,,Portugal,,Member of the European Parliament; Former Leader of the Christian Democrats
Inger E. Prebensen,,Norway,,"President,  Kjobmandsbanken"
Lord Prior,,United Kingdom,,"Chairman,GEC plc; Former Secretary of State for Emploment for Northern Ireland"
Grant L. Reuber,,Canada,,"Deputy Chairman,Bank of Montreal"
James D. Robinson III,,United States,,"Chairman and Chief Executive Officer,American Express Company"
Olivier Roy,,France,,"University Professor and Researcher,Centre National de Recherches Scientifiques(CNRS)"
"Charles S. Sanford, Jr.",,United States,,"Chairman,Bankers Trust Company"
Rüşdü Saraçoğlu,,Turkey,,"Governor,Central Bank of the Republic of Turkey"
Guido Schmidt-Chiari,,Austria,,"Chairman of the Managing Board of Directors,Creditanstalt-Bankverein"
David G. Scholey,,United Kingdom,,"Chairman,S.G. Warburg Group"
Gary G. Sick,,United States,,"Visiting Scholar, Research Institute on International Change,Columbia University"
Gordon S. Smith,,Canada,,"Permanent Representative and Ambassador, Delegation of Canada to the North Atlantic Council"
Ilkka Suominen,,Finland,,Minister of Trade and Industry
Horst Teltschik,,FRG,,"Head of the Directorate-General for Foreign and Intra-German Relations, Development Policy and External Security, Federal Chancellery"
Anders Thunborg,,Swden,,Ambassador to the Soviet Union; Former Minister of Defence
Niels Thygesen,,Denmark,,"Professor of Economics,University of Copenhagen"
Friedrich Verzetnitsch,,Austria,,"President, Austrian Trade Union"
Karsten D. Voigt,,Federal Republic of Germany,,"Member of Parliament;SPDSpokesman on Foreign Affairs; Member, SPD Party Leadership"
James D. Wolfensohn,,United States,,"President,The World Bank Group"
Walter B. Wriston,,United States,,"Former Chairman,Citibank"
Emilio de Ybarra y Clurruca,,Spain,,"Vice Chairman and Managing Director,BBVA"
