name,cohort_year,position,century
Archibald MacLeish,1915,"poet and diplomat[3]: 185, 187–9",20th
Wesley Oler,1916,"baseball player and track and field athlete, competed in the 1912 Summer Olympics[68]: 171–2",20th
Howard Phelps Putnam,1916,poet[3]: 155,20th
Donald Ogden Stewart,1916,"author and screenwriter, Academy Award-winner for The Philadelphia Story[3]: 127 [32]",20th
Prescott Bush,1917,"founding partner in Brown Brothers Harriman & Co., US Senator from Connecticut.[3]: 126, 144–5  His nickname was ""The Japanese"".",20th
E. Roland Harriman,1917,co-founder Harriman Brothers & Company[69],20th
Harry William LeGore,1917,All-America college football player[70],20th
H. Neil Mallon,1917,"CEO of Dresser Industries[3]: 126, 145, 168",20th
Kenneth Farrand Simpson,1917,member of the United States House of Representatives from New York[22]: 144 [32],20th
Howard Malcolm Baldrige,1918,US Representative from Nebraska[71],20th
F. Trubee Davison,1918,"WWI aviator, Assistant US Secretary of War, New York State Representative, Director of Personnel at the CIA[3]: 108, 187 [72][73]",20th
John Chipman Farrar,1918,"publisher, founder of Farrar & Rinehart and Farrar, Straus and Giroux[3]: 127",20th
Artemus Lamb Gates,1918,"businessman, US Assistant Secretary of the Navy for Air[69]",20th
Robert A. Lovett,1918,US Secretary of Defense[3]: 184–8 [74],20th
Charles J. Stewart,1918,first chairman of Manufacturers Hanover Trust Company[75],20th
Charles Phelps Taft II,1918,"son of President William Howard Taft, Mayor of Cincinnati, Ohio[76]",20th
John Martin Vorys,1918,US Representative from Ohio[71][77]: 427,20th
Lewis Greenleaf Adams,1920,architect[2][78],20th
Briton Hadden,1920,"co-founder of Time-Life Enterprises[3]: 127, 150",20th
Francis Thayer Hobson,1920,chair of William Morrow[2][78],20th
David Sinton Ingalls,1920,"WWI Navy Flying Ace, Ohio State Representative, Assistant Secretary of the Navy[69]",20th
Henry Luce,1920,co-founder of Time-Life Enterprises[3]: 109–10,20th
Juan Terry Trippe,1921,Founder Pan American Airways,20th
Stanley Woodward,1922,"US Foreign Service officer, State Department Chief of Protocol, US Ambassador to Canada[79]",20th
John Sherman Cooper,1923,US Senator from Kentucky[80]: 19,20th
Russell Davenport,1923,editor of Fortune magazine; created Fortune 500 list[81],20th
F. O. Matthiessen,1923,"historian, literary critic[3]: 126",20th
Edwin Foster Blair,1924,lawyer[82],20th
Walter Edwards Houghton,1924,"historian of Victorian literature, compiler of The Wellesley Index to Victorian Periodicals, 1824–1900[82][83]",20th
Charles Merville Spofford,1924,lawyer and NATO official[82],20th
Marvin Allen Stevens,1925,"orthopedic surgeon, College Football Hall of Fame player and coach[84]",20th
James Jeremiah Wadsworth,1927,"diplomat, US Ambassador to the UN[85]",20th
George Herbert Walker Jr.,1927,financier and co-founder of the New York Mets; uncle to President George Herbert Walker Bush[3]: 164,20th
John Rockefeller Prentice,1928,lawyer and cattle breeder[86],20th
Lanny Ross,1928,singer.[32][86][87],20th
Granger Kent Costikyan,1929,partner Brown Brothers Harriman[88],20th
George Crile Jr.,1929,surgeon[89]: 50,20th
Charles Alderson Janeway,1930,Professor of Pediatrics at Harvard Medical School[90],20th
H. J. Heinz II,1931,heir to H. J. Heinz Company; father of H. John Heinz III[3]: 174,20th
Lewis Abbot Lapham,1931,banking and shipping executive[3],20th
John M. Walker,1931,"physician, investment banker[3]: 164",20th
Frederick Baldwin Adams Jr.,1932,"bibliophile, director of the Pierpont Morgan Library[91]",20th
Samuel Hazard Gillespie Jr.,1932,"U.S. Attorney for the Southern District of New York, senior counsel at Davis Polk & Wardwell[92]",20th
Tex McCrary,1932,"journalist, public relations and political strategist to President Eisenhower[3]: 125 [93]",20th
Eugene O'Neill Jr.,1932,"professor of Greek literature, son of Eugene O'Neill[35]: 94",20th
Francis Judd Cooke,1933,composer[94],20th
Samuel Carnes Collier,1935,"advertising, racecar driver[35]",20th
Lyman Spitzer,1935,theoretical physicist and namesake of the NASA Spitzer Space Telescope[95],20th
Sonny Tufts,1935,actor[96],20th
Jonathan Brewster Bingham,1936,U.S. Representative (D-New York)[3]: 165,20th
Brendan Gill,1936,author and New Yorker contributor[3]: 127,20th
John Hersey,1936,author[3]: 127,20th
John Merrill Knapp,1936,"musicologist, professor at Princeton University[2]",20th
William H. Orrick Jr.,1937,"United States federal judge, brother of Andrew Downey Orrick[97]",20th
Potter Stewart,1937,"U.S. Supreme Court Justice[3]: 127, 171 [97]",20th
J. Richardson Dilworth,1938,Rockefeller family lawyer[98],20th
Clinton Frank,1938,"advertising, College Football Hall of Fame and Heisman Trophy-winning player[99]",20th
Albert Hessberg II,1938,"lawyer, first Jewish member of Skull and Bones[100][101]",20th
William P. Bundy,1939,"State Department liaison for the Bay of Pigs invasion, brother of McGeorge Bundy[3]: 186",20th
William Welch Kellogg,1939,"climatologist, associate director National Center for Atmospheric Research[102]",20th
McGeorge Bundy,1940,"Special Assistant for National Security Affairs; National Security Advisor; Professor of History, brother of William Bundy[3]: 53",20th
Andrew Downey Orrick,1940,acting chairman of the Securities and Exchange Commission[103],20th
Barry Zorthian,1941,"American diplomat, most notably press officer in Saigon for 4+1⁄2 years during Vietnam War[3]: 173 [104][105]",20th
David Acheson,1943,"author, lawyer, son of Dean Acheson[3]: 188",20th
James L. Buckley,1944,"U.S. Senator (R-New York 1971–1977) and brother of William F. Buckley Jr.[3]: 168, 174 [106][107]",20th
John Bannister Goodenough,1944,solid-state physicist at the University of Texas at Austin[108] and winner of the 2019 Nobel Prize in Chemistry,20th
Townsend Walter Hoopes II,1944,"historian, Under Secretary of the Air Force (1967–69)[3]: 188",20th
William Singer Moorhead,1944,US Representative from Pennsylvania[77][109],20th
James Whitmore,1944,actor[110],20th
John Chafee,1947,"U.S. Senator, Secretary of the Navy and Governor of Rhode Island, father of Lincoln Chafee[3]: 168, 171",20th
Josiah Augustus Spaulding,1947,"lawyer, partner Bingham Dana & Gould[111]",20th
Charles S. Whitehouse,1947,"CIA Agent (1947–1956), U.S. Ambassador to Laos and Thailand in the 1970s.[3]: 174",20th
Thomas William Ludlow Ashley,1948,US Representative from Ohio[3]: 167–72,20th
George H. W. Bush,1948,"41st President of the United States, 11th Director of Central Intelligence (CIA), son of Prescott Bush, father of George W. Bush. His Skull and Bones nickname was ""Magog"".[3]: 167–8 [112]",20th
William Sloane Coffin,1949,"CIA agent (1950–1953), clergyman and peace activist[3]: 127, 196",20th
Daniel Pomeroy Davison,1949,"banker, president United States Trust Corporation[113]",20th
Tony Lavelli,1949,basketball player[3]: 169 [114],20th
David McCord Lippincott,1949,novelist and composer[115],20th
Charles Edwin Lord II,1949,"banker, Vice-chairman of the Export-Import Bank of the United States[116]",20th
William F. Buckley Jr.,1950,"founder of National Review,[3]: 41  former CIA officer",20th
William Henry Draper III,1950,"Chair of United Nations Development Programme and Export-Import Bank of the United States[3]: 174–5, 179",20th
Evan G. Galbraith,1950,"US Ambassador to France; managing director of Morgan Stanley[3]: 181, 187 [117]",20th
Thomas Henry Guinzburg,1950,president Viking Press[118],20th
Raymond Price,1951,"speechwriter for Presidents Nixon, Ford, and Bush.[3]: 173",20th
Fergus Reid Buckley,1952,author and public speaker[2],20th
Charles Sherman Haight Jr.,1952,Connecticut District Court judge[2],20th
Jonathan James Bush,1953,"banker, son of Prescott Bush[3]: 145, 179",20th
William H. Donaldson,1953,"appointed chairman of the U.S. Securities and Exchange Commission by George W. Bush; founding dean of Yale School of Management; co-founder of Donaldson, Lufkin & Jenrette investment firm[3]: 166, 173",20th
John Birnie Marshall,1953,Olympic medal-winning swimmer[2],20th
James Price McLane,1953,Olympic medal-winning swimmer[120],20th
George Herbert Walker III,1953,US Ambassador to Hungary[3]: 164,20th
David McCullough,1955,U.S. historian; two-time Pulitzer Prize winner[3]: 127,20th
Caldwell Esselstyn,1956,"Olympic medal-winning rower, physician, author[121]",20th
Jack Edwin McGregor,1956,"Pennsylvania State Senator, founder Pittsburgh Penguins[110]",20th
R. Inslee Clark Jr.,1957,"former Director of Undergraduate Admissions for Yale College; former Headmaster of Horace Mann School[3]: 153, 176",20th
Linden Stanley Blue,1958,aviation executive[2],20th
Robert Morey,1958,Olympic medal-winning rower[2],20th
Stephen Adams,1959,"American businessman, founder Adams Outdoor[3]: 180",20th
Winston Lord,1959,"Chairman of Council on Foreign Relations; Ambassador to China; Assistant U.S. Secretary of State[3]: 174–5, 189 [117]",20th
Eugene Lytton Scott,1960,"tennis player, founder Tennis Week[122]",20th
Michael Johnson Pyle,1960,National Football League player[2],20th
William Hamilton,1962,New Yorker cartoonist[123],20th
David L. Boren,1963,"Governor of Oklahoma, U.S. Senator, President of the University of Oklahoma[3]: 124, 158 [124]",20th
Michael Gates Gill,1963,"advertising executive, author[125]",20th
William Dawbney Nordhaus,1963,Sterling Professor of Economics at Yale University and winner of the 2018 Nobel Prize in Economics[2],20th
Orde Musgrave Coombs,1965,"author, editor, first black member of Skull and Bones[126]",20th
John Shattuck,1965,"US diplomat and ambassador, university administrator[110]",20th
John Forbes Kerry,1966,68th United States Secretary of State (2013–2017); U.S. Senator (D-Massachusetts; 1985–2013);  Lieutenant Governor of Massachusetts (1983–1985); 2004 Democratic Party Presidential nominee;[3]: 112,20th
David Rumsey,1966,founder of the David Rumsey Map Collection and president of Cartography Associates[2],20th
Frederick Wallace Smith,1966,"founder of FedEx[3]: 172, 180–1 [127]",20th
David Thorne,1966,United States Ambassador to Italy[3]: 85,20th
Victor Ashe,1967,"Tennessee State Senator and Representative, Mayor of Knoxville, Tennessee, US Ambassador to Poland[3]: 181–2 [128]",20th
Roy Leslie Austin,1968,"appointed ambassador to Trinidad and Tobago by George W. Bush[3]: 177, 181–2 [129]",20th
George W. Bush,1968,"grandson of Prescott Bush; son of George H. W. Bush; 46th Governor of Texas; 43rd President of the United States. His nickname was either ""Gog""[3]: 4~3:33  or “Temporary”.[130]",20th
Rex William Cowdry,1968,Acting Director National Institute of Mental Health (1994–96)[3]: 177,20th
Robert McCallum Jr,1968,"Ambassador to Australia[3]: 177, 181 [131]",20th
Don Schollander,1968,"developer; author; US Olympic Hall of Fame inductee; four-time Olympic Gold medallist swimmer[3]: 126, 177",20th
Brian John Dowling,1969,"National Football League player, inspiration for B.D. in Doonesbury[2]",20th
Stephen Allen Schwarzman,1969,co-founder of The Blackstone Group[132][133],20th
Douglas Preston Woodlock,1969,US federal judge[134],20th
Charles Herbert Levin,1971,actor[2],20th
George E. Lewis,1974,trombonist and composer[135],20th
Christopher Taylor Buckley,1975,"author, editor, chief speechwriter for Vice President George H. W. Bush[3]: 173",20th
Robert Curtis Brown,1979,"American Film, Television and Stage Actor[2]",20th
Robert William Kagan,1980,foreign policy writer[2],20th
Michael Cerveris,1983,"American actor, singer, and guitarist[2]",20th
Earl G. Graves Jr.,1984,president of Black Enterprise[136],20th
Edward S. Lampert,1984,founder of ESL Investments; chairman of Sears Holdings Corporation[3]: 180 [136],20th
James Emanuel Boasberg,1985,"judge, United States District Court for the District of Columbia[110]",20th
Steven Mnuchin,1985,United States Treasury Secretary[110],20th
Paul Giamatti,1989,"American actor and producer; son of A. Bartlett Giamatti, President of Yale 1978-86[137]",20th
Dana Milbank,1990,author and columnist at The Washington Post[138],20th
Austan Goolsbee,1991,staff director to and chief economist of President Barack Obama's Economic Recovery Advisory Board[139],20th
David Leonhardt,1994,journalist and columnist at The New York Times[140],20th
Angela Buchdahl,1994,first East-Asian American ordained Rabbi and Chief Rabbi of Central Synagogue[141],20th
Tali Farhadian Weinstein,1997,"attorney, professor, and former candidate for New York County District Attorney [142]",20th
Noah P. Hood,2008,"justice, Michigan Supreme Court[143]",20th
ISBN,2003,". ""The Skeleton Crew"". Fleshing Out Skull and Bones: Investigations into America's Most Powerful Secret Society. Walterville, OR: Trine Day. pp. 597–690. ISBN 0-9720207-2-1. ""This list is compiled fro",20th
"Robbins, Alexandra",2002,". Secrets of the Tomb: Skull and Bones, the Ivy League, and the Hidden Paths of Power. Boston: Little, Brown. ISBN 0-316-72091-7. Retrieved November 15, 2015.",20th
ISBN,1989,". Selvages and Biases: The Fabric of History in American Culture. Cornell University Press. p. 223. ISBN 0801494044. Retrieved November 15, 2015.",20th
University of Illinois,1995,". Stagg's University: The Rise, Decline, and Fall of Big-time Football at Chicago. University of Illinois Press. p. 9.",20th
ISBN,2004,". American dynasty: aristocracy, fortune, and the politics of deceit in the house of Bush. Penguin. ISBN 9781101200803. Retrieved November 15, 2015.",20th
ISBN,2006,. The Millionaires' Unit: The Aristocratic Flyboys who Fought the Great War and Invented America's Airpower. New York: Public Affairs. ISBN 1-58648-328-5.,20th
"Isaacson, Walter",1997,. The Wise Men: Six Friends and the World They Made. Simon and Schuster. p. 690.,20th
ISBN,1992,". The way it was: sex, surgery, treasure, and travel, 1907–1987. Kent State University Press. ISBN 9780873384650. Retrieved November 15, 2015.",20th
"Rosenbaum, Ron",1977,". ""The Last Secrets of Skull and Bones"". Esquire. ISBN 9780375503382. Retrieved March 27, 2011.",20th
ISBN,2005,". Yale's Ironmen: A Story of Football & Lives in the Decade of the Depression & Beyond. iUniverse. p. 157. ISBN 9780595803798. Retrieved November 15, 2015.",20th
ISBN,1985,". Joining the Club: A History of Jews and Yale. New Haven: Yale University Press. pp. 87–88, 351. ISBN 0-300-03330-3.",20th
PublishAmerica,2008,". Witness to Grace. PublishAmerica. ISBN 9781462607570. Retrieved November 15, 2015.",20th
ISBN,1991,". Vietnam, a history. Viking. p. 571. ISBN 978-0-14-014533-5.",20th
"Judis, John B.",2001,". William F. Buckley Jr.: Patron Saint of the Conservatives. Simon and Schuster. ISBN 9780743217972. Retrieved November 15, 2015.",20th
Presidential appointee,1869,"Presidential appointee, United States Solicitor, Department of State, son of Henry Jarvis Raymond, founder NY Times, and prominent in forming the Republican Party[25]",19th
1912 Summer Olympics,1916,"American baseball player and track and field athlete, competed in the 1912 Summer Olympics[69]: 171–2",20th
Fortune,1929,editor and publisher (Fortune)[91],20th
Debevoise & Plimpton,1943,"lawyer, partner Debevoise & Plimpton[2]",20th
J. Paul Getty Museum,1961,"art historian, director J. Paul Getty Museum[127]",20th
"Robert McCallum, Jr",1968,"Ambassador to Australia[3]: 177, 181 [136]",20th
Vice,1988,political reporter for Vice. Dead Man's Jacket Guitarist[142][143][144],20th
Angela Warnick Buchdahl,1994,senior rabbi at New York's Central Synagogue[149],20th
